benefit,state,leave_type,relationship_api_value,survey_label,covered_by_rule,expected_bke_result,how_rule_enforces,lc_testing_notes,code_source
RI Temporary Caregiving Insurance (TCI),RI,Caregiver,(null / unanswered),,N/A,Missing,Template caregiver_relationship via is_correct_caregiver; must match RI_TCI_CAREGIVER_RELATIONSHIPS,"Leave type Caregiver with caregiver_relationship unset/null — expect Missing (needs data), not ineligible",benefits/rules/rhode_island/tci.py RI_TCI_CAREGIVER_RELATIONSHIPS
RI Temporary Caregiving Insurance (TCI),RI,Caregiver,SPOUSE,Spouse,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; must match RI_TCI_CAREGIVER_RELATIONSHIPS,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/rhode_island/tci.py RI_TCI_CAREGIVER_RELATIONSHIPS
RI Temporary Caregiving Insurance (TCI),RI,Caregiver,DOMESTIC_PARTNER,Domestic Partner,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; must match RI_TCI_CAREGIVER_RELATIONSHIPS,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/rhode_island/tci.py RI_TCI_CAREGIVER_RELATIONSHIPS
RI Temporary Caregiving Insurance (TCI),RI,Caregiver,PARENT,Parent,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; must match RI_TCI_CAREGIVER_RELATIONSHIPS,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/rhode_island/tci.py RI_TCI_CAREGIVER_RELATIONSHIPS
RI Temporary Caregiving Insurance (TCI),RI,Caregiver,PARENT_IN_LAW,Parent-in-Law,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; must match RI_TCI_CAREGIVER_RELATIONSHIPS,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/rhode_island/tci.py RI_TCI_CAREGIVER_RELATIONSHIPS
RI Temporary Caregiving Insurance (TCI),RI,Caregiver,CHILD_U18,Child (Under 18),Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; must match RI_TCI_CAREGIVER_RELATIONSHIPS,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/rhode_island/tci.py RI_TCI_CAREGIVER_RELATIONSHIPS
RI Temporary Caregiving Insurance (TCI),RI,Caregiver,CHILD_O18,Child (Over 18),Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; must match RI_TCI_CAREGIVER_RELATIONSHIPS,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/rhode_island/tci.py RI_TCI_CAREGIVER_RELATIONSHIPS
RI Temporary Caregiving Insurance (TCI),RI,Caregiver,STEP_CHILD_U18,Step-Child (Under 18),Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; must match RI_TCI_CAREGIVER_RELATIONSHIPS,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/rhode_island/tci.py RI_TCI_CAREGIVER_RELATIONSHIPS
RI Temporary Caregiving Insurance (TCI),RI,Caregiver,STEP_CHILD_O18,Step-Child (Over 18),Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; must match RI_TCI_CAREGIVER_RELATIONSHIPS,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/rhode_island/tci.py RI_TCI_CAREGIVER_RELATIONSHIPS
RI Temporary Caregiving Insurance (TCI),RI,Caregiver,GRANDPARENT,Grandparent,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; must match RI_TCI_CAREGIVER_RELATIONSHIPS,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/rhode_island/tci.py RI_TCI_CAREGIVER_RELATIONSHIPS
