benefit,state,leave_type,relationship_api_value,survey_label,covered_by_rule,expected_bke_result,how_rule_enforces,lc_testing_notes,code_source
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,(null / unanswered),,N/A,Missing,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Leave type Caregiver with caregiver_relationship unset/null — expect Missing (needs data), not ineligible",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,PARENT,Parent,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,STEP_PARENT,Step-Parent,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,PARENT_IN_LAW,Parent-in-Law,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,LEGAL_GUARDIAN,Legal Guardian,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,SPOUSE,Spouse,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,DOMESTIC_PARTNER,Domestic Partner,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,CHILD,Child,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,CHILD_U18,Child (Under 18),Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,CHILD_O18,Child (Over 18),Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
