benefit,state,leave_type,relationship_api_value,survey_label,covered_by_rule,expected_bke_result,how_rule_enforces,lc_testing_notes,code_source
MN PFML Paid Family (caregiving),MN,Caregiver,(null / unanswered),,N/A,Missing,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Leave type Caregiver with caregiver_relationship unset/null — expect Missing (needs data), not ineligible",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,SPOUSE,Spouse,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,DOMESTIC_PARTNER,Domestic Partner,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,PARENT,Parent,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,PARENT_IN_LAW,Parent-in-Law,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,CHILD_U18,Child (Under 18),Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,CHILD_O18,Child (Over 18),Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,CHILD_IN_LAW_U18,Child-in-Law (Under 18),Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,CHILD_IN_LAW_O18,Child-in-Law (Over 18),Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,GRANDPARENT,Grandparent,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,GRANDCHILD,Grandchild,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,SIBLING,Sibling,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,SIBLING_IN_LAW,Sibling-in-Law,No,Ineligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,Ineligible — covered in automated test,benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,(survey: chosen family),Chosen family (L&C),Unknown in BKE,Manual / follow-up,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,L&C doc covers chosen family; no CaregiverRelationshipType enum value yet — not automatable in BKE until survey adds a value,benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
