category,check_name,old_copy_fail,new_copy_pass,new_copy_fail,notes
geo_residence,employee.lives_in_country (US),The employee lives in: US = False,The employee lives in the U.S.,The employee does not live in the U.S.,Default geo helper
geo_work_state,employee.works_in_state (CA),The employee works in: CA = False,The employee works in California.,The employee does not work in California.,State name expanded
geo_work_state,employee.works_in_state (RI),The employee works in: RI = False,The employee works in Rhode Island.,The employee does not work in Rhode Island.,State name expanded
geo_work_state,NJ FLA works_in_state,NJ FLA applies only to employees working in New Jersey. = False,NJ FLA applies only to employees working in New Jersey.,The employee does not work in New Jersey.,Custom pass; standardized fail
geo_work_state,NJ PFL works_in_state,NJ FLI applies only to employees working in New Jersey. = False,NJ FLI applies only to employees working in New Jersey.,The employee does not work in New Jersey.,Custom pass; standardized fail
geo_work_state,NJ TDI works_in_state,NJ TDI applies only to employees working in New Jersey. = False,NJ TDI applies only to employees working in New Jersey.,The employee does not work in New Jersey.,Custom pass; standardized fail
geo_work_state,RI TDI works_in_state,RI TDI applies only to employees working in Rhode Island. = False,RI TDI applies only to employees working in Rhode Island.,The employee does not work in Rhode Island.,Custom pass; standardized fail
geo_work_state,RI TCI works_in_state,RI TCI applies only to employees working in Rhode Island. = False,RI TCI applies only to employees working in Rhode Island.,The employee does not work in Rhode Island.,Custom pass; standardized fail
feature_flag,flag.for_everyone (RI PFMLA),Flag 'enableBKERhodeIslandPFMLA' is active for everyone = False,Flag 'enableBKERhodeIslandPFMLA' is active for everyone,Flag 'enableBKERhodeIslandPFMLA' is not active for everyone,Filtered from user-facing awake reasoning
feature_flag,flag.for_everyone (NJ PFL),Flag 'enableBKENewJerseyPFL' is active for everyone = False,Flag 'enableBKENewJerseyPFL' is active for everyone,Flag 'enableBKENewJerseyPFL' is not active for everyone,Filtered from user-facing awake reasoning
feature_flag,flag.for_everyone (FMLA military caregiving),Flag 'enableBKEFmlaMilitaryCaregiving' is active for everyone = False,Flag 'enableBKEFmlaMilitaryCaregiving' is active for everyone,Flag 'enableBKEFmlaMilitaryCaregiving' is not active for everyone,Filtered from user-facing awake reasoning
leave_type,leave.is_type (Medical),The leave is: Medical = False,This is a medical leave.,This is not a medical leave.,Shown in eligible reasoning / tooltips
leave_type,leave.is_type (Parental),The leave is: Parental = False,This is a parental leave.,This is not a parental leave.,Shown in eligible reasoning / tooltips
leave_type,leave.is_type (Caregiver),The leave is: Caregiver = False,This is a caregiver leave.,This is not a caregiver leave.,Shown in eligible reasoning / tooltips
leave_type,leave.is_type (Military),The leave is: Military = False,This is a military leave.,This is not a military leave.,Shown in eligible reasoning / tooltips
leave_type,leave.is_types_or (Parental + Medical),The leave is: Parental or Medical = False,This is a parental and medical leave.,This is neither a parental nor a medical leave.,OR leave-type checks
leave_type,FMLA leave.is_types_or (3 types),The leave is: Parental Medical or Caregiver = False,This is a caregiver medical military or parental leave.,This leave type does not qualify (must be caregiver medical military or parental).,FMLA eligible leave types
leave_subtype,leave.is_pregnant (birthing parent),The employee is pregnant (a Birthing Parent) = False,The employee is a birthing parent.,The employee is not a birthing parent.,
leave_subtype,NJ FLA negated medical leave,NJ FLA covers family caregiving and bonding only = False,NJ FLA covers family caregiving and bonding only,NJ FLA does not cover the employee's own medical condition.,NegatedCheckable
leave_subtype,leave.is_non_work_related (RI TDI),RI TDI covers non-work-related disabilities only. = False,RI TDI covers non-work-related disabilities only.,The leave is for a work-related disability.,
leave_subtype,leave.is_non_work_related (NJ TDI),NJ TDI covers non-work-related disabilities only. = False,NJ TDI covers non-work-related disabilities only.,The leave is for a work-related disability.,
tenure,employee.tenure_years (1 year),Hired at least 1 year before leave return = False,The employee has been employed for at least one year.,The employee has not been employed for one year.,
tenure,employee.tenure_months (3 months NJ FLA),Hired at least 3 months before leave return = False,The employee has been employed for at least 3 months.,The employee has not been employed for 3 months.,
work_hours,employee.work_hours (1250 FMLA/CFRA),The employee has worked at least 1250 hours prior = False,The employee has worked at least 1250 hours.,The employee has not worked 1250 hours.,
work_hours,employee.work_hours (1000 WI FMLA),The employee has worked at least 1000 hours prior = False,The employee has worked at least 1000 hours.,The employee has not worked 1000 hours.,
earnings,NJ PFL has_met_nj_earnings,The employee has met NJ FLI earnings requirements for the base period. = False,The employee has met NJ FLI earnings requirements for the base period.,The employee has not met NJ FLI earnings requirements for the base period.,
