benefit,state,leave_type,relationship_api_value,survey_label,covered_by_rule,expected_bke_result,how_rule_enforces,lc_testing_notes,code_source
NY Paid Family Leave (PFL),NY,Caregiver,(null / unanswered),,N/A,Missing,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Leave type Caregiver with caregiver_relationship unset/null — expect Missing (needs data), not ineligible",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,PARENT,Parent,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,STEP_PARENT,Step-Parent,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,PARENT_IN_LAW,Parent-in-Law,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,SPOUSE,Spouse,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,DOMESTIC_PARTNER,Domestic Partner,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,CHILD,Child,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,STEP_CHILD,Step-Child,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,SIBLING,Sibling,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,STEP_SIBLING,Step-Sibling,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,HALF_SIBLING,Half-Sibling,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,GRANDPARENT,Grandparent,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,GRANDCHILD,Grandchild,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,LEGAL_GUARDIAN,Legal Guardian,No,Ineligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),Ineligible — test_ineligible_caregiver_unsupported_relationship,benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
