Category,Message topic,Before (hard to understand),After (clear message),Where users see it,Who benefits,Why this is better
Output format,Approved leave periods,"spans = (<Span (2024-01-01, 2024-01-31)>,)","Approved leave period: January 1, 2024 to January 31, 2024.","Admin PDP yellow tooltip; Leave Management benefit reasoning; API","HR admins; leave coordinators","Replaces Python object dump with plain approved-period language."
Output format,Multiple approved periods,"spans = [(<Span ...>, <Span ...>)]","Intermittent leave periods: [readable date ranges on separate lines]","Admin PDP yellow tooltip; Leave Management Not Applied details","HR admins; leave coordinators","No tuple repr; each period is a readable date range."
Output format,Continuous leave periods,"Continuous leave spans = (<Span ...>,)","Continuous leave period: October 10, 2023 to December 4, 2023.","Admin PDP; span reasoning sidebar","HR admins; leave coordinators","Names the leave pattern and formats dates for humans."
Output format,No periods calculated,"spans = []","No leave periods were calculated.","Admin PDP empty-span headline; Leave Management Not Applied","HR admins; leave coordinators","Clear outcome instead of an empty Python list."
Output format,Unknown schedule data,"spans = (<Span (0001-01-01, 0001-01-01)>,)","Leave periods could not be calculated from the available schedule data.","Admin PDP; Leave Management when schedule data is incomplete","HR admins; leave coordinators","Dedicated copy instead of exposing date.min placeholders."
Output format,Invalid span validation,"Invalid result for spans: [...]","The calculated leave periods were invalid and could not be applied.","Admin PDP; span reasoning when validation fails","HR admins; leave coordinators","Explains the failure without Python repr noise."
Dates,ISO date strings,"Minimum effective date 2024-01-15","The earliest effective date is January 15, 2024.","Admin PDP span reasoning; benefit evaluation details","HR admins; benefits specialists","Uses Month Day Year instead of ISO format."
Dates,ISO date strings,"Maximum effective start date 9999-12-31","(hidden from user-facing output)","Admin PDP span reasoning","HR admins","Sentinel placeholder dates are suppressed rather than shown."
Dates,Global disability start,"Global Disability Period start date is 2024-03-01","The disability period begins on March 1, 2024.","Parental/medical benefit span reasoning","HR admins; leave coordinators","Plain-language period naming with readable dates."
Dates,Global bonding start,"Global Bonding Period start date is 2024-06-01","The bonding period begins on June 1, 2024.","Parental benefit span reasoning","HR admins; leave coordinators","Same improvement for bonding windows."
Dates,Global bonding end,"Global Bonding Period end date is 2025-05-31","The bonding period ends on May 31, 2025.","Parental benefit span reasoning","HR admins; leave coordinators","Readable end date for bonding coverage."
Dates,Expression results,"CFRA eligible date = datetime.date(2023, 10, 10)","California Family Rights Act eligible date = October 10, 2023","Span reasoning from describe() date expressions","HR admins; benefits specialists","Expands law abbreviations and removes datetime.date()."
Dates,Expression results,"FMLA eligible date = 2024-01-01","Family and Medical Leave Act eligible date = January 1, 2024","FMLA span reasoning","HR admins; benefits specialists","Full program name plus readable date."
Dates,Document due/start dates,"due_date_fn = 2026-09-23 19:05:13+00:00","due_date_fn = September 23, 2026","Document requirement reasoning in Admin PDP","HR admins; leave coordinators","Dates shown as calendar dates not timestamps."
Duration,Maximum duration,"Maximum duration 105 days, 0:00:00","Maximum leave duration: 105 days.","Admin PDP; span reasoning when entitlement is capped","HR admins; benefits specialists","Removes confusing timedelta clock suffix."
Duration,Max duration exceeded,"Max Duration exceeded by leave span 2024-01-01 to 2024-01-31.","The leave period from January 1, 2024 to January 31, 2024 exceeds the maximum allowed duration.","Admin PDP empty-span details; Not Applied tooltips","HR admins; leave coordinators","Explains which schedule block exceeded the limit."
Duration,Exact fit,"Leave span 2024-01-01 to 2024-01-10 uses remaining duration exactly","The leave period from January 1, 2024 to January 10, 2024 uses the remaining allowed duration exactly.","Span reasoning during schedule trimming","HR admins; benefits specialists","Readable dates and complete sentence structure."
Duration,Waiting period extension,"Waiting period (7 days) does not reduce benefit duration but extends span budget","The waiting period of 7 days does not reduce benefit duration; the leave period budget has been extended accordingly.","State PFML waiting-period reasoning (e.g. Minnesota)","HR admins; benefits specialists","Explains retroactive payable behavior in plain language."
Duration,Full entitlement weeks,"26 weeks of leave time allowed","26 weeks of leave time are allowed.","State TDI/PFL span reasoning (e.g. Rhode Island)","HR admins; benefits specialists","Consistent grammar; still expresses weeks clearly."
Duration,Remaining balance,"42 days deducted from remaining duration","The leave period is shorter than the remaining allowed duration. 42 deducted from the remaining balance.","Span trimming reasoning","HR admins; benefits specialists","States what happened to the entitlement bank."
Schedule,Generic continuous schedule,"No leave schedule present for continuous leave. Generic span created from 2022-01-15 to 2022-03-31.","No specific leave schedule was found. A default leave period of January 15, 2022 to March 31, 2022 has been applied.","Employee wages benefits; continuous leave fallback","HR admins; payroll partners","Explains the assumption instead of developer shorthand."
Schedule,Block before earliest start,"2024-01-01 to 2024-01-07, so skipping schedule.","This scheduled period (January 1, 2024 to January 7, 2024) falls before the earliest date this benefit can begin, so it was skipped.","Admin PDP span detail lines","HR admins; leave coordinators","Says why the block was skipped with readable dates."
Schedule,All blocks before start,"No leave schedule overlaps... (2024-02-01). All selected leave time falls before...","No leave schedule overlaps this benefit's earliest start date (February 1, 2024). All selected leave time falls before coverage can begin.","Admin PDP empty-span headline aggregation","HR admins; leave coordinators","Headline-friendly copy for schedule/benefit mismatch."
Schedule,Partial blocks before start,"3 of 5 schedule blocks fall before earliest start date (2024-02-01).","3 of 5 schedule blocks fall before this benefit's earliest start date (February 1, 2024).","Admin PDP partial-overlap details","HR admins; leave coordinators","Readable date plus clearer possessive wording."
Schedule,No applicable schedules,"No applicable leave schedules","No applicable leave schedules were found for this leave.","Admin PDP empty-span headline","HR admins; leave coordinators","Complete sentence explaining no schedule matched."
